ID,Label,Name,Glottocode,ISO639P3code
AcjachemenJuaneno,Acjachemen_(Juaneño),Acjachemen (Juaneño),juan1251,
ArizonaYoemeYaqui,Arizona_Yoeme_(Yaqui),Arizona Yoeme (Yaqui),yaqu1251,yaq
BigSmokeyValleyShoshone,Big_Smokey_Valley_Shoshone,Big Smokey Valley Shoshone,shos1248,shh
Cahuilla,Cahuilla,Cahuilla,cahu1264,chl
Chemehuevi,Chemehuevi,Chemehuevi,chem1251,ute
ClassicalNahuatl,Classical_Nahuatl,Classical Nahuatl,clas1250,nci
Comanche,Comanche,Comanche,coma1245,com
Cora,Cora,Cora,cora1260,crn
Cupeno,Cupeño,Cupeño,cupe1243,cup
Eudeve,Eudeve,Eudeve,eude1234,
Guarijio,Guarijío,Guarijío,huar1255,var
Ipai,Ipai,Ipai,ipai1240,
Kawaiisu,Kawaiisu,Kawaiisu,kawa1283,xaw
Kitanemuk,Kitanemuk,Kitanemuk,serr1255,ser
Luiseno,Luiseño,Luiseño,luis1253,lui
Mayo,Mayo,Mayo,mayo1264,mfy
NorthernPaiute,Northern_Paiute,Northern Paiute,nort2954,pao
NTepehuan,N_Tepehuan,N Tepehuan,nort2959,ntp
OrayviHopi,Orayvi_Hopi,Orayvi Hopi,hopi1249,hop
PahkannilTubatulabal,Pahkannil_(Tübatulabal),Pahkannil (Tübatulabal),tuba1278,tub
PimaBajo,Pima_Bajo,Pima Bajo,pima1248,pia
Pipil,Pipil,Pipil,pipi1250,ppl
PochutlaMexicano,Pochutla_Mexicano,Pochutla Mexicano,poch1244,xpo
Raramuri,Rarámuri,Rarámuri,cent2131,tar
Serrano,Serrano,Serrano,serr1255,ser
Shoshone,Shoshone,Shoshone,shos1248,shh
SouthernPaiute,Southern_Paiute,Southern Paiute,sout2969,
SouthernUte,Southern_Ute,Southern Ute,utee1244,
STepehuan,S_Tepehuan,S Tepehuan,sout2975,
TetelcingoMexicano,Tetelcingo_Mexicano,Tetelcingo Mexicano,tete1251,nhg
Tewa,Tewa,Tewa,ariz1237,
TohonoOodham,Tohono_O'odham,Tohono O'odham,toho1245,ood
TongvaGabrielino,Tongva_(Gabrielino),Tongva (Gabrielino),tong1329,xgf
Tubar,Tubar,Tubar,tuba1279,tbu
TumpisaShoshonePanamintKoso,"Tümpisa_Shoshone_(Panamint,Koso)","Tümpisa Shoshone (Panamint,Koso)",pana1305,par
WesternMono,Western_Mono,Western Mono,mono1275,mnr
WesternShoshone,Western_Shoshone,Western Shoshone,west2622,
WixarikaHuichol,Wixarika_(Huichol),Wixarika (Huichol),huic1243,hch
Zuni,Zuni,Zuni,zuni1245,zun
Opata,Ópata,Ópata,opat1246,opt